Filename; VoxelX; VoxelY; VoxelZ; BinContent
sep_sim_193_x-82_y112_z526.root; 40; 59; 52; 311
sep_sim_193_x-82_y112_z526.root; 40; 59; 53; 317
sep_sim_193_x-82_y112_z526.root; 40; 59; 54; 320
sep_sim_193_x-82_y112_z526.root; 40; 59; 55; 318
sep_sim_193_x-82_y112_z526.root; 40; 60; 49; 241
sep_sim_193_x-82_y112_z526.root; 40; 60; 50; 301
sep_sim_193_x-82_y112_z526.root; 40; 60; 51; 289
sep_sim_193_x-82_y112_z526.root; 40; 60; 52; 301
sep_sim_193_x-82_y112_z526.root; 40; 60; 53; 308
sep_sim_193_x-82_y112_z526.root; 40; 60; 54; 276
sep_sim_193_x-82_y112_z526.root; 40; 60; 55; 310
sep_sim_193_x-82_y112_z526.root; 40; 61; 49; 207
sep_sim_193_x-82_y112_z526.root; 40; 61; 50; 290
sep_sim_193_x-82_y112_z526.root; 40; 61; 51; 291
sep_sim_193_x-82_y112_z526.root; 40; 61; 52; 303
sep_sim_193_x-82_y112_z526.root; 40; 61; 53; 293
sep_sim_193_x-82_y112_z526.root; 40; 61; 54; 289
sep_sim_193_x-82_y112_z526.root; 40; 61; 55; 310
sep_sim_193_x-82_y112_z526.root; 40; 62; 49; 239
sep_sim_193_x-82_y112_z526.root; 40; 62; 50; 324
sep_sim_193_x-82_y112_z526.root; 40; 62; 51; 311
sep_sim_193_x-82_y112_z526.root; 40; 62; 52; 330
sep_sim_193_x-82_y112_z526.root; 40; 62; 53; 307
sep_sim_193_x-82_y112_z526.root; 40; 62; 54; 263
sep_sim_193_x-82_y112_z526.root; 40; 62; 55; 316
sep_sim_193_x-82_y112_z526.root; 40; 63; 49; 85
sep_sim_193_x-82_y112_z526.root; 40; 63; 50; 132
sep_sim_193_x-82_y112_z526.root; 40; 63; 51; 141
sep_sim_193_x-82_y112_z526.root; 40; 63; 52; 138
sep_sim_193_x-82_y112_z526.root; 40; 63; 53; 142
sep_sim_193_x-82_y112_z526.root; 40; 63; 54; 139
sep_sim_193_x-82_y112_z526.root; 40; 63; 55; 130
sep_sim_193_x-82_y112_z526.root; 41; 58; 49; 7
sep_sim_193_x-82_y112_z526.root; 41; 58; 50; 17
sep_sim_193_x-82_y112_z526.root; 41; 58; 51; 20
sep_sim_193_x-82_y112_z526.root; 41; 58; 52; 16
sep_sim_193_x-82_y112_z526.root; 41; 58; 53; 9
sep_sim_193_x-82_y112_z526.root; 41; 58; 54; 13
sep_sim_193_x-82_y112_z526.root; 41; 58; 55; 18
sep_sim_193_x-82_y112_z526.root; 41; 59; 49; 223
sep_sim_193_x-82_y112_z526.root; 41; 59; 50; 316
sep_sim_193_x-82_y112_z526.root; 41; 59; 51; 303
sep_sim_193_x-82_y112_z526.root; 41; 59; 52; 300
sep_sim_193_x-82_y112_z526.root; 41; 59; 53; 320
sep_sim_193_x-82_y112_z526.root; 41; 59; 54; 305
sep_sim_193_x-82_y112_z526.root; 41; 59; 55; 302
sep_sim_193_x-82_y112_z526.root; 41; 60; 49; 193
sep_sim_193_x-82_y112_z526.root; 41; 60; 50; 284
sep_sim_193_x-82_y112_z526.root; 41; 60; 51; 303
sep_sim_193_x-82_y112_z526.root; 41; 60; 52; 261
sep_sim_193_x-82_y112_z526.root; 41; 60; 53; 299
sep_sim_193_x-82_y112_z526.root; 41; 60; 54; 289
sep_sim_193_x-82_y112_z526.root; 41; 60; 55; 290
sep_sim_193_x-82_y112_z526.root; 41; 61; 49; 235
sep_sim_193_x-82_y112_z526.root; 41; 61; 50; 299
sep_sim_193_x-82_y112_z526.root; 41; 61; 51; 275
sep_sim_193_x-82_y112_z526.root; 41; 61; 52; 291
sep_sim_193_x-82_y112_z526.root; 41; 61; 53; 291
sep_sim_193_x-82_y112_z526.root; 41; 61; 54; 310
sep_sim_193_x-82_y112_z526.root; 41; 61; 55; 267
sep_sim_193_x-82_y112_z526.root; 41; 62; 49; 233
sep_sim_193_x-82_y112_z526.root; 41; 62; 50; 299
sep_sim_193_x-82_y112_z526.root; 41; 62; 51; 271
sep_sim_193_x-82_y112_z526.root; 41; 62; 52; 309
sep_sim_193_x-82_y112_z526.root; 41; 62; 53; 301
sep_sim_193_x-82_y112_z526.root; 41; 62; 54; 272
sep_sim_193_x-82_y112_z526.root; 41; 62; 55; 286
sep_sim_193_x-82_y112_z526.root; 41; 63; 49; 112
sep_sim_193_x-82_y112_z526.root; 41; 63; 50; 155
sep_sim_193_x-82_y112_z526.root; 41; 63; 51; 167
sep_sim_193_x-82_y112_z526.root; 41; 63; 52; 143
sep_sim_193_x-82_y112_z526.root; 41; 63; 53; 136
sep_sim_193_x-82_y112_z526.root; 41; 63; 54; 136
sep_sim_193_x-82_y112_z526.root; 41; 63; 55; 156
sep_sim_193_x-82_y112_z526.root; 42; 58; 49; 15
sep_sim_193_x-82_y112_z526.root; 42; 58; 50; 18
sep_sim_193_x-82_y112_z526.root; 42; 58; 51; 14
sep_sim_193_x-82_y112_z526.root; 42; 58; 52; 20
sep_sim_193_x-82_y112_z526.root; 42; 58; 53; 8
sep_sim_193_x-82_y112_z526.root; 42; 58; 54; 12
sep_sim_193_x-82_y112_z526.root; 42; 58; 55; 20
sep_sim_193_x-82_y112_z526.root; 42; 59; 49; 229
sep_sim_193_x-82_y112_z526.root; 42; 59; 50; 303
sep_sim_193_x-82_y112_z526.root; 42; 59; 51; 309
sep_sim_193_x-82_y112_z526.root; 42; 59; 52; 306
sep_sim_193_x-82_y112_z526.root; 42; 59; 53; 300
sep_sim_193_x-82_y112_z526.root; 42; 59; 54; 309
sep_sim_193_x-82_y112_z526.root; 42; 59; 55; 308
sep_sim_193_x-82_y112_z526.root; 42; 60; 49; 232
sep_sim_193_x-82_y112_z526.root; 42; 60; 50; 303
sep_sim_193_x-82_y112_z526.root; 42; 60; 51; 274
